Horizon,item,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6
H2,Rank,MLP_Iter,SVR_Iter,MLP_MIMO,SVR_Dir,MLP_Dir,SVR_MIMO
H2,Sig,,,,,,
H3,Rank,SVR_MIMO,MLP_MIMO,MLP_Dir,MLP_Iter,SVR_Iter,SVR_Dir
H3,Sig,,,,,*>SVR_MIMO,
H4,Rank,SVR_MIMO,MLP_Iter,MLP_MIMO,SVR_Iter,MLP_Dir,SVR_Dir
H4,Sig,,,*>SVR_MIMO,*>SVR_MIMO,"*>SVR_MIMO
*>MLP_Iter",*>SVR_MIMO
H5,Rank,SVR_MIMO,MLP_Iter,SVR_Iter,MLP_MIMO,SVR_Dir,MLP_Dir
H5,Sig,,,*>SVR_MIMO,*>SVR_MIMO,*>SVR_MIMO,"*>SVR_MIMO
*>MLP_Iter"
H6,Rank,SVR_MIMO,MLP_Iter,MLP_MIMO,SVR_Iter,SVR_Dir,MLP_Dir
H6,Sig,,,*>SVR_MIMO,*>SVR_MIMO,"*>SVR_MIMO
*>MLP_Iter","*>SVR_MIMO
*>MLP_Iter"
H7,Rank,SVR_MIMO,MLP_Iter,SVR_Iter,MLP_MIMO,SVR_Dir,MLP_Dir
H7,Sig,,,*>SVR_MIMO,*>SVR_MIMO,*>SVR_MIMO,"*>SVR_MIMO
*>MLP_Iter
*>SVR_Iter
*>MLP_MIMO
*>SVR_Dir"
H8,Rank,SVR_MIMO,MLP_Iter,SVR_Iter,MLP_MIMO,SVR_Dir,MLP_Dir
H8,Sig,,,,*>SVR_MIMO,"*>SVR_MIMO
*>MLP_Iter","*>SVR_MIMO
*>MLP_Iter
*>SVR_Iter
*>MLP_MIMO"
H9,Rank,SVR_MIMO,SVR_Iter,MLP_Iter,SVR_Dir,MLP_MIMO,MLP_Dir
H9,Sig,,,,"*>SVR_MIMO
*>SVR_Iter",*>SVR_MIMO,"*>SVR_MIMO
*>SVR_Iter
*>MLP_Iter
*>MLP_MIMO"
H10,Rank,SVR_MIMO,MLP_Iter,SVR_Iter,MLP_MIMO,SVR_Dir,MLP_Dir
H10,Sig,,*>SVR_MIMO,*>SVR_MIMO,*>SVR_MIMO,*>SVR_MIMO,"*>SVR_MIMO
*>MLP_Iter
*>SVR_Iter
*>MLP_MIMO"
